ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
George Washington Carver,GWCA27,1,Jun  6 2012,Hardwood,19.5
George Washington Carver,GWCA27,1,Jun  9 2016,Hardwood,31
George Washington Carver,GWCA27,1,Jun  9 2016,Total,31
George Washington Carver,GWCA27,1,Jun 11 2020,Hardwood,13
George Washington Carver,GWCA27,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA27,1,May 29 2008,Hardwood,22.2
George Washington Carver,GWCA28,1,Jun  4 2012,Hardwood,21.9
George Washington Carver,GWCA28,1,Jun 12 2020,Hardwood,24
George Washington Carver,GWCA28,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA28,1,May 20 2016,Hardwood,14.5
George Washington Carver,GWCA28,1,May 20 2016,Total,14.5
George Washington Carver,GWCA28,1,May 28 2008,Hardwood,25.9
George Washington Carver,GWCA29,1,Jun  5 2012,Conifer,4.7
George Washington Carver,GWCA29,1,Jun  5 2012,Hardwood,19.7
George Washington Carver,GWCA29,1,Jun 10 2020,Hardwood,18
George Washington Carver,GWCA29,1,Jun 10 2020,Conifer,4
George Washington Carver,GWCA29,1,May 20 2016,Hardwood,16.2
George Washington Carver,GWCA29,1,May 20 2016,Conifer,4.25
George Washington Carver,GWCA29,1,May 20 2016,Total,16.2
George Washington Carver,GWCA29,1,May 28 2008,Hardwood,12.2
George Washington Carver,GWCA3,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA3,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA3,1,May 18 2016,Total,0
George Washington Carver,GWCA30,1,Jun  5 2012,Hardwood,18
George Washington Carver,GWCA30,1,Jun 10 2020,Hardwood,15
George Washington Carver,GWCA30,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA30,1,May 20 2016,Hardwood,22
George Washington Carver,GWCA30,1,May 20 2016,Total,22
George Washington Carver,GWCA30,1,May 28 2008,Hardwood,18.8
George Washington Carver,GWCA31,1,Jun  9 2020,Hardwood,0
George Washington Carver,GWCA31,1,Jun  9 2020,Conifer,0
George Washington Carver,GWCA31,1,May 18 2016,Total,0
George Washington Carver,GWCA32,1,Jun  6 2012,Hardwood,9.2
George Washington Carver,GWCA32,1,Jun  8 2020,Hardwood,0
George Washington Carver,GWCA32,1,Jun  8 2020,Conifer,0
George Washington Carver,GWCA32,1,May 18 2016,Hardwood,9.5
George Washington Carver,GWCA32,1,May 18 2016,Total,9.5
George Washington Carver,GWCA32,1,May 29 2008,Hardwood,8.7
George Washington Carver,GWCA33,1,Jun  6 2012,Hardwood,18.7
George Washington Carver,GWCA33,1,Jun 11 2020,Hardwood,19
George Washington Carver,GWCA33,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA33,1,May 20 2016,Hardwood,16.5
George Washington Carver,GWCA33,1,May 20 2016,Total,16.5
George Washington Carver,GWCA33,1,May 29 2008,Hardwood,19.8
George Washington Carver,GWCA34,1,Jun  4 2012,Hardwood,24.9
George Washington Carver,GWCA34,1,Jun 11 2020,Hardwood,8
George Washington Carver,GWCA34,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA34,1,May 20 2016,Hardwood,18.5
George Washington Carver,GWCA34,1,May 20 2016,Total,18.5
George Washington Carver,GWCA34,1,May 27 2008,Hardwood,25.2
George Washington Carver,GWCA35,1,Jun  4 2012,Hardwood,21.8
George Washington Carver,GWCA35,1,Jun 11 2020,Hardwood,24
George Washington Carver,GWCA35,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA35,1,May 20 2016,Hardwood,18.5
George Washington Carver,GWCA35,1,May 20 2016,Total,18.5
George Washington Carver,GWCA35,1,May 27 2008,Hardwood,23.9
George Washington Carver,GWCA36,1,Jun  9 2020,Hardwood,0
George Washington Carver,GWCA36,1,Jun  9 2020,Conifer,0
George Washington Carver,GWCA36,1,May 18 2016,Total,0
George Washington Carver,GWCA37,1,Jun  6 2012,Hardwood,21.4
George Washington Carver,GWCA37,1,Jun 11 2020,Hardwood,11
George Washington Carver,GWCA37,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA37,1,May 20 2016,Hardwood,21
George Washington Carver,GWCA37,1,May 20 2016,Total,21
George Washington Carver,GWCA37,1,May 29 2008,Hardwood,25.5
George Washington Carver,GWCA38,1,Jun  4 2012,Hardwood,6
George Washington Carver,GWCA38,1,Jun  9 2020,Hardwood,0
George Washington Carver,GWCA38,1,Jun  9 2020,Conifer,0
George Washington Carver,GWCA38,1,May 20 2016,Hardwood,10
George Washington Carver,GWCA38,1,May 20 2016,Total,10
George Washington Carver,GWCA39,1,Jun  4 2012,Hardwood,22.3
George Washington Carver,GWCA39,1,Jun 11 2020,Hardwood,0
George Washington Carver,GWCA39,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA39,1,May 20 2016,Hardwood,16.5
